,Symbol,Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E,EPS (dil TTM),EPS Growth (TTM YoY),Div Yield % TTM,Sector,Analyst Rating
0,A,"Agilent Technologies, Inc.",125.94,−0.31%,1280000.0,0.76,35700000000.0,29.53,4.26 USD,−11.62%,0.78%,Health technology,Buy
1,AA,Alcoa Corporation,31.53,−3.37%,7980000.0,1.30,8160000000.0,8.09,3.90 USD,—,1.23%,Non-energy minerals,Buy
2,AACB,Artius II Acquisition Inc.,10.15,0.00%,5580.0,2.28,295870000.0,—,—,—,0.00%,Finance,Neutral
3,AACI,Armada Acquisition Corp. II,10.4,+0.48%,104500.0,0.82,328540000.0,—,—,—,0.00%,Finance,Neutral
4,AACT,Ares Acquisition Corporation II,8.88,−22.11%,989610.0,1.29,549310000.0,33.98,0.26 USD,−37.96%,0.00%,Finance,Neutral
5,AAL,"American Airlines Group, Inc.",12.19,−1.14%,73030000.0,0.78,8039999999.999999,15.67,0.78 USD,—,0.00%,Transportation,Buy
6,AAM,AA Mission Acquisition Corp.,10.52,+0.08%,,0.08,462550000.0,35.78,0.29 USD,—,0.00%,Finance,Neutral
7,AAME,Atlantic American Corporation,3.33,0.00%,37450.0,1.07,67920000.0,33.57,0.10 USD,—,0.60%,Finance,Neutral
8,AAMI,Acadian Asset Management Inc.,48.44,−0.74%,222210.0,0.58,1730000000.0,20.21,2.40 USD,+44.74%,0.08%,Finance,Neutral
9,AAOI,"Applied Optoelectronics, Inc.",28.06,−8.12%,6150000.0,1.09,1750000000.0,—,−3.36 USD,−75.13%,0.00%,Electronic technology,Buy
10,AAON,"AAON, Inc.",94.26,+1.42%,1080000.0,0.76,7690000000.0,64.26,1.47 USD,−34.16%,0.39%,Producer manufacturing,Strong buy
11,AAP,Advance Auto Parts Inc.,60.11,−0.08%,1770000.0,0.94,3610000000.0,—,−6.40 USD,"−55,244.83%",1.66%,Retail trade,Neutral
12,AAPL,Apple Inc.,254.43,−0.64%,60220000.0,0.83,3780000000000.0,38.68,6.58 USD,+0.16%,0.40%,Electronic technology,Buy
13,AARD,"Aardvark Therapeutics, Inc.",11.44,+1.87%,229320.0,0.66,248210000.0,—,−1.69 USD,+46.68%,0.00%,Health technology,Strong buy
14,AB,AllianceBernstein Holding L.P.,38.19,−1.67%,224300.0,1.26,4230000000.0000005,11.38,3.36 USD,+16.78%,8.70%,Finance,Neutral
15,ABAT,American Battery Technology Company,4.13,+9.55%,16090000.0,2.40,487530000.0,—,−0.59 USD,+35.59%,0.00%,Non-energy minerals,Strong buy
16,ABBV,AbbVie Inc.,222.61,+0.01%,4630000.0,0.78,393250000000.0,105.94,2.10 USD,−29.72%,2.91%,Health technology,Buy
17,ABCB,Ameris Bancorp,75.0,−0.16%,485080.0,0.93,5140000000.0,13.22,5.67 USD,+25.80%,1.00%,Finance,Buy
18,ABCL,AbCellera Biologics Inc.,4.9,+1.45%,10150000.0,2.37,1460000000.0,—,−0.56 USD,−6.28%,0.00%,Health technology,Strong buy
19,ABEO,Abeona Therapeutics Inc.,5.51,+0.55%,790500.0,0.67,282540000.0,8.73,0.63 USD,—,0.00%,Health technology,Strong buy
20,ABG,Asbury Automotive Group Inc,242.35,+1.07%,147070.0,1.09,4760000000.0,8.85,27.38 USD,+40.53%,0.00%,Retail trade,Neutral
21,ABL,"Abacus Global Management, Inc.",6.08,−0.65%,857240.0,0.71,588330000.0,—,−0.06 USD,+32.31%,0.00%,Finance,Strong buy
22,ABLV,Able View Global Inc.,0.895,−3.23%,5990.0,0.10,44200000.0,—,−0.17 USD,−361.71%,0.00%,Retail trade,Neutral
23,ABM,ABM Industries Incorporated,45.31,−1.09%,600320.0,0.85,2770000000.0,24.62,1.84 USD,−24.09%,2.23%,Commercial services,Buy
24,ABNB,"Airbnb, Inc.",123.5,−1.55%,5630000.0,1.03,76750000000.0,29.80,4.14 USD,−43.56%,0.00%,Consumer services,Neutral
25,ABOS,"Acumen Pharmaceuticals, Inc.",1.23,−3.91%,252030.0,1.69,74510000.0,—,−2.27 USD,−103.31%,0.00%,Health technology,Strong buy
26,ABP,"Abpro Holdings, Inc",0.2101,−11.57%,3860000.0,0.58,16840000.0,—,−0.44 USD,−148.77%,0.00%,Finance,Neutral
27,ABSI,Absci Corporation,2.6,−3.35%,3800000.0,0.70,388760000.0,—,−0.95 USD,−1.34%,0.00%,Health technology,Strong buy
28,ABT,Abbott Laboratories,135.89,−0.53%,5140000.0,0.85,236510000000.0,16.99,8.00 USD,+152.39%,1.70%,Health technology,Buy
29,ABTC,American Bitcoin Corp.,6.94,−4.14%,2620000.0,0.34,1220000000.0,—,−1.49 USD,+99.92%,0.00%,Technology services,Neutral
30,ABTS,Abits Group Inc,8.41,−7.68%,83050.0,1.20,19930000.0,—,−0.53 USD,+86.25%,0.00%,Technology services,Neutral
31,ABUS,Arbutus Biopharma Corporation,4.46,+0.68%,1010000.0,0.51,854980000.0,—,−0.29 USD,+35.30%,0.00%,Health technology,Buy
32,ABVC,"ABVC BioPharma, Inc.",2.9,+1.05%,49800.0,0.56,68270000.0,—,−0.18 USD,+89.16%,0.00%,Health technology,Neutral
33,ABVE,Above Food Ingredients Inc.,1.49,−2.61%,1650000.0,0.86,76280000.0,—,—,—,0.00%,Consumer non-durables,Neutral
34,ACA,"Arcosa, Inc.",95.86,+0.22%,220000.0,0.94,4700000000.0,51.10,1.88 USD,−37.75%,0.21%,Non-energy minerals,Strong buy
35,ACAD,ACADIA Pharmaceuticals Inc.,23.6,−3.79%,1390000.0,0.65,3980000000.0,17.73,1.33 USD,+645.55%,0.00%,Health technology,Buy
36,ACCO,Acco Brands Corporation,4.08,+0.99%,556430.0,0.89,367740000.0,8.46,0.48 USD,—,7.43%,Producer manufacturing,Strong buy
37,ACCS,ACCESS Newswire Inc.,10.99,+1.80%,38920.0,11.37,42510000.0,—,−1.44 USD,−836.72%,0.00%,Technology services,Strong buy
38,ACDC,ProFrac Holding Corp.,3.64,+0.55%,2830000.0,1.78,590120000.0,—,−1.74 USD,−39.14%,0.00%,Industrial services,Sell
39,ACEL,"Accel Entertainment, Inc.",11.23,+0.90%,232210.0,0.82,946620000.0,27.52,0.41 USD,−27.58%,0.00%,Consumer services,Strong buy
40,ACET,"Adicet Bio, Inc.",0.8303,+1.17%,329040.0,0.76,69130000.0,—,−1.30 USD,+48.45%,0.00%,Health technology,Strong buy
41,ACFN,"Acorn Energy, Inc.",29.51,−3.50%,22190.0,0.87,73820000.0,10.39,2.84 USD,"+1,506.90%",0.00%,Electronic technology,Neutral
42,ACGL,Arch Capital Group Ltd.,88.46,+0.49%,2210000.0,0.92,33020000000.000004,9.14,9.68 USD,−31.89%,0.00%,Finance,Buy
43,ACHC,"Acadia Healthcare Company, Inc.",22.02,−4.34%,3440000.0,0.77,2029999999.9999998,14.51,1.52 USD,—,0.00%,Health services,Buy
44,ACHR,Archer Aviation Inc.,10.0,+4.71%,65540000.00000001,1.84,6450000000.0,—,−1.28 USD,−4.00%,0.00%,Electronic technology,Strong buy
45,ACHV,"Achieve Life Sciences, Inc.",3.04,+3.05%,997470.0,0.93,155360000.0,—,−1.46 USD,−32.50%,0.00%,Health technology,Strong buy
46,ACI,"Albertsons Companies, Inc.",17.58,−0.79%,6210000.0,0.95,9840000000.0,10.72,1.64 USD,−14.76%,3.22%,Retail trade,Buy
47,ACIC,American Coastal Insurance Corporation,11.16,−2.62%,122010.0,0.71,544220000.0,6.77,1.65 USD,+15.18%,0.00%,Finance,Buy
